고객번호,이탈여부,나이,성별,부양가족수,교육수준,결혼상태,소득,카드종류,은행과의 기간,은행상품 개수,비활성화된 월 수(12개월),카드사와 연락 횟수(12개월),신용한도,밀린 카드비 총합,12개월 평균 카드 한도와 계좌 금액의 차이,거래금액 변동(1분기 대비 4분기),거래총액(12개월),총거래건수(12개월),거래건수 변동(1분기 대비 4분기),평균카드사용률
768805383,기존고객,58,남성,0,교육없음,미혼,알 수 없음,블루,34,5,1,3,6733.876463057144,2491,4242.876463057144,2.699578740299961,2634,17,1.6483598556476546,0.9728979330775386
818770008,기존고객,48,여성,2,고등학교,기혼,1억 2천만 원 이상,골드,48,6,1,2,5047.888188671013,2415,2632.8881886710133,1.5650821236120598,4562,27,2.867322453323196,0.6530418624530575
713982108,기존고객,34,남성,1,교육없음,이혼,8천만 원 - 1억 2천만 원,실버,41,4,1,0,4558.961175722681,1642,2916.961175722681,2.306807876022341,4427,46,0.5511934553505857,0.2327993850775102
769911858,기존고객,62,여성,3,교육없음,기혼,8천만 원 - 1억 2천만 원,실버,26,3,4,1,7818.581904688798,888,6930.581904688798,1.2164641057603651,3965,70,2.528378996159669,0.5753821711322221
709106358,기존고객,27,여성,2,대학원졸업,알 수 없음,4천만 원 - 6천만 원,골드,26,5,1,0,1681.7139539881318,1883,-201.28604601186817,2.779465058723084,2997,54,1.7793117624963293,0.4211439566169963
713061558,기존고객,40,여성,4,알수없음,기혼,8천만 원 - 1억 2천만 원,골드,53,3,1,2,6376.844915639745,725,5651.844915639745,1.6378656024663345,3476,47,2.047031229885546,0.2586525754821783
810347208,기존고객,58,남성,1,대학원졸업,미혼,8천만 원 - 1억 2천만 원,플래티넘,26,6,1,3,13392.233664421336,146,13246.233664421336,2.509313743290218,1240,11,2.211331400543156,0.7727861447505168
818906208,기존고객,38,여성,4,고등학교,이혼,1억 2천만 원 이상,플래티넘,9,2,2,2,13310.461896042598,1716,11594.461896042598,1.139542208356412,970,64,1.6400504733025798,0.6291987299165052
710930508,기존고객,42,여성,4,대학졸업,알 수 없음,8천만 원 - 1억 2천만 원,실버,6,5,2,0,2397.522323338333,1527,870.5223233383335,2.2340108548046977,2165,24,0.9796490047555187,0.790104208421211
719661558,기존고객,30,남성,4,대학졸업,이혼,8천만 원 - 1억 2천만 원,블루,31,6,3,3,6460.896724531783,2477,3983.896724531783,1.5128960110000895,4215,68,2.7739764123686914,0.2694906678167259
708790833,기존고객,30,남성,0,박사학위,알 수 없음,알 수 없음,골드,56,5,3,2,11821.595628880512,847,10974.595628880512,0.5785985574363677,4490,84,2.3504768903744573,0.9038845456183244
710821833,기존고객,43,여성,4,대학원졸업,이혼,4천만 원 미만,골드,7,6,2,3,7052.490612558954,1463,5589.490612558954,1.5325206343976587,609,14,1.898974245676619,0.2387137399191717
710599683,기존고객,55,남성,3,박사학위,알 수 없음,4천만 원 - 6천만 원,블루,14,3,6,0,8941.772459588596,2245,6696.772459588596,1.8750541043885511,4380,93,1.6211409733145876,0.6019224137796256
816082233,기존고객,59,여성,3,대학원졸업,이혼,8천만 원 - 1억 2천만 원,골드,50,5,1,3,14543.404385199516,1310,13233.404385199516,0.879404034782938,4889,29,1.7483290708896198,0.0568946633997348
712396908,기존고객,43,남성,2,박사학위,이혼,6천만 원 - 8천만 원,골드,23,5,2,2,1176.0697596759708,564,612.0697596759708,0.9597827629815376,2762,91,2.5588455200761597,0.5409642684142519
714885258,기존고객,22,여성,5,대학원졸업,알 수 없음,4천만 원 - 6천만 원,실버,53,5,1,2,6251.47733768018,368,5883.47733768018,1.6621569958078923,1459,21,0.5312585171524651,0.0987234098185333
709967358,기존고객,41,남성,4,교육없음,알 수 없음,1억 2천만 원 이상,플래티넘,53,6,2,3,3705.072631915317,1263,2442.072631915317,1.3568242810835167,2059,66,2.663337485213677,0.332214894979811
753327333,기존고객,21,남성,4,고등학교,미혼,8천만 원 - 1억 2천만 원,블루,47,4,4,1,3424.574472525343,1310,2114.574472525343,1.6018513450084066,1616,90,0.6168799328432796,0.8606892586975833
806160108,기존고객,43,남성,1,대학,미혼,알 수 없음,블루,46,2,2,3,19221.76411249769,1818,17403.764112497694,1.652067473306807,1180,77,2.039782666165721,0.8935273151405528
709327383,기존고객,63,남성,0,대학졸업,미혼,4천만 원 미만,실버,16,6,1,2,8154.646299685937,1887,6267.646299685937,0.8501901092568891,1551,28,1.332806431209174,0.7672985305134441
806165208,기존고객,49,여성,5,대학,알 수 없음,4천만 원 미만,플래티넘,30,5,2,0,11014.683113283158,59,10955.683113283158,0.9529864381752868,4273,96,2.1955906984395472,0.3677037919043633
708508758,이탈고객,57,남성,2,고등학교,알 수 없음,1억 2천만 원 이상,골드,31,2,3,3,14942.61585432302,544,14398.61585432302,2.620413483698736,4861,36,0.7138572898249071,0.5787228149892617
784725333,기존고객,21,남성,5,대학졸업,알 수 없음,1억 2천만 원 이상,골드,41,4,2,1,1901.502022340953,2350,-448.49797765904646,0.9067967232762102,4880,62,1.8905813635311224,0.2239789663995585
811604133,기존고객,40,여성,4,대학,이혼,6천만 원 - 8천만 원,블루,47,3,3,2,5579.430132596269,1267,4312.430132596269,2.164785832520652,2450,51,2.638085543732977,0.6783491951442666
789124683,기존고객,52,남성,1,박사학위,기혼,알 수 없음,플래티넘,40,4,2,3,16810.80795953054,1707,15103.80795953054,1.5463201169194802,2428,54,1.7365946499262384,0.3474030184011728
771071958,기존고객,31,남성,0,대학졸업,미혼,1억 2천만 원 이상,실버,43,6,1,2,17377.821650379738,1230,16147.821650379738,2.920591714924102,2567,87,0.7108665046280916,0.2209986019213953
720466383,기존고객,41,여성,2,대학원졸업,기혼,1억 2천만 원 이상,실버,8,4,1,2,8086.067492175239,2330,5756.067492175239,0.6652609047205938,4335,77,0.5934460618876892,0.5849703578998694
804424383,기존고객,63,여성,5,알수없음,알 수 없음,4천만 원 - 6천만 원,골드,46,3,3,2,8122.370393383597,1045,7077.370393383597,2.5759721650769047,2408,77,2.053003372025514,0.111802191367556
